source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
north-carolina,Maryland (5/-),maryland,Maryland,Yes,1,1960-1961,1960-1961,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (6/-),maryland,Maryland,Yes,1,1956-1957,1956-1957,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (7/-),maryland,Maryland,Yes,1,1960-1961,1960-1961,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (9/-),maryland,Maryland,Yes,1,1955-1956,1955-1956,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (9/2),maryland,Maryland,Yes,1,2015-2016,2015-2016,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryville,maryville-tn,Maryville (TN),No,1,1915-1916,1915-1916,RESOLVED,HISTORICAL_NON_D1_IDENTITY_DISAMBIGUATED,,Historical Maryville source identity disambiguated as Maryville (Tennessee).
north-carolina,Massachusetts,massachusetts,Massachusetts,Yes,5,1970-1971,2000-2001,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,McCrary Eagles,mccrary-eagles,McCrary Eagles,No,6,1939-1940,1950-1951,RESOLVED,HISTORICAL_INDUSTRIAL_TEAM_IDENTITY_RETAINED,,
north-carolina,McNeese State,mcneese,McNeese,Yes,1,2012-2013,2012-2013,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Mercer,mercer,Mercer,Yes,7,1921-1922,1980-1981,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami,miami,Miami (FL),Yes,27,1949-1950,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami (-/-),miami,Miami (FL),Yes,2,2021-2022,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami (-/15),miami,Miami (FL),Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami (12/24),miami,Miami (FL),Yes,1,2017-2018,2017-2018,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami (13/-),miami,Miami (FL),Yes,1,2018-2019,2018-2019,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami (3/-),miami,Miami (FL),Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami (5/11),miami,Miami (FL),Yes,1,2015-2016,2015-2016,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami (6/-),miami,Miami (FL),Yes,1,2016-2017,2016-2017,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami (8/-),miami,Miami (FL),Yes,1,2018-2019,2018-2019,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami (9/-),miami,Miami (FL),Yes,3,2016-2017,2023-2024,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Miami (Ohio),miami-oh,Miami (OH),Yes,4,1972-1973,1991-1992,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan,michigan,Michigan,Yes,5,1986-1987,1992-1993,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan (-/-),michigan,Michigan,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan (-/24),michigan,Michigan,Yes,1,2021-2022,2021-2022,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan (13/-),michigan,Michigan,Yes,1,2017-2018,2017-2018,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan (6/-),michigan,Michigan,Yes,1,2019-2020,2019-2020,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan St.,michigan-state,Michigan State,Yes,2,1995-1996,1997-1998,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan St. (1/11),michigan-state,Michigan State,Yes,1,1956-1957,1956-1957,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan St. (3/7),michigan-state,Michigan State,Yes,1,1958-1959,1958-1959,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan State,michigan-state,Michigan State,Yes,12,1976-1977,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan State (12/-),michigan-state,Michigan State,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan State (5/-),michigan-state,Michigan State,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Michigan State (9/4),michigan-state,Michigan State,Yes,1,2017-2018,2017-2018,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Middle Tennessee St.,middle-tennessee,Middle Tennessee,Yes,4,1984-1985,1998-1999,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Milligan,milligan,Milligan,No,1,1943-1944,1943-1944,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,
north-carolina,Minnesota,minnesota,Minnesota,Yes,4,1959-1960,2010-2011,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Minnesota (1/10),minnesota,Minnesota,Yes,1,1957-1958,1957-1958,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Mississippi,ole-miss,Ole Miss,Yes,2,1922-1923,1925-1926,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
