canonical_game_id,season_label,game_date,date_precision,team_a_key,team_b_key,team_a_score,team_b_score,result_winner_team_key,overtime_periods,site_type,designated_home_team_key,venue_key,site_city,site_state,game_type,postseason_round,administrative_status,administrative_note,canonical_status,notes
CBBG-0000068,1909-1910,1910-03-23,EXACT,missouri,missouri-athletic-club,22,32,missouri-athletic-club,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000069,1910-1911,1911-01-13,EXACT,iowa-state,missouri,22,40,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000070,1910-1911,1911-01-14,EXACT,iowa-state,missouri,26,43,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000071,1910-1911,1911-01-27,EXACT,kansas,missouri,34,28,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000072,1910-1911,1911-01-28,EXACT,kansas,missouri,27,15,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000073,1910-1911,1911-02-08,EXACT,missouri,nebraska,39,26,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000074,1910-1911,1911-02-09,EXACT,missouri,nebraska,37,36,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000075,1910-1911,1911-02-17,EXACT,kansas,missouri,32,16,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000076,1910-1911,1911-02-18,EXACT,kansas,missouri,36,25,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000077,1910-1911,1911-02-24,EXACT,iowa-state,missouri,22,16,iowa-state,0,TEAM_A_HOME,iowa-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000078,1910-1911,1911-02-25,EXACT,iowa-state,missouri,21,18,iowa-state,0,TEAM_A_HOME,iowa-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000079,1910-1911,1911-02-26,EXACT,missouri,nebraska,23,30,nebraska,0,TEAM_B_HOME,nebraska,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000080,1910-1911,1911-02-27,EXACT,missouri,nebraska,23,20,missouri,0,TEAM_B_HOME,nebraska,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000081,1911-1912,1912-01-10,EXACT,missouri,washburn,26,17,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000082,1911-1912,1912-01-17,EXACT,iowa-state,missouri,24,25,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000083,1911-1912,1912-01-18,EXACT,iowa-state,missouri,10,18,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000084,1911-1912,1912-01-19,EXACT,missouri,washington-university-of-st-louis,12,29,washington-university-of-st-louis,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
