index,index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
40,40,MDRAW-00041,maryland,2025-26_record_book_all_time_results,1918-1919,1919,1919-02-15,Gallaudet,Gallaudet,gallaudet,No,9,33,L,0,,,unprefixed,NEUTRAL,,,,,at Washington YMCA No teams from,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F15 Gallaudet 1 L 9-33,resolved,,,,,
41,41,MDRAW-00042,maryland,2025-26_record_book_all_time_results,1918-1919,1919,1919-03-03,Catholic,Catholic,catholic,No,12,14,L,0,,,unprefixed,NEUTRAL,,,,,at Washington YMCA No teams from,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M3 Catholic 1 L 12-14,resolved,,,,,
42,42,MDRAW-00043,maryland,2025-26_record_book_all_time_results,1918-1919,1919,1919-03-08,George Washington,George Washington,george-washington,Yes,20,53,L,0,,,unprefixed,NEUTRAL,,,,,at Washington YMCA No teams from,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M8 George Washington 1 L 20-53,resolved,,,,,
43,43,MDRAW-00044,maryland,2025-26_record_book_all_time_results,1923-1924,1924,,George Washington,George Washington,george-washington,Yes,41,22,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,George Washington W 41-22,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
44,44,MDRAW-00045,maryland,2025-26_record_book_all_time_results,1923-1924,1924,,Gallaudet,Gallaudet,gallaudet,No,42,28,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,Gallaudet W 42-28,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
45,45,MDRAW-00046,maryland,2025-26_record_book_all_time_results,1923-1924,1924,,Catholic,Catholic,catholic,No,13,30,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,Catholic L 13-30,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
46,46,MDRAW-00047,maryland,2025-26_record_book_all_time_results,1923-1924,1924,1924-02-05,No. Carolina,North Carolina,north-carolina,Yes,20,26,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F5 • No. Carolina L 20-26,resolved,,,,,
47,47,MDRAW-00048,maryland,2025-26_record_book_all_time_results,1923-1924,1924,,Virginia,Virginia,virginia,Yes,13,26,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,• Virginia L 13-26,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
48,48,MDRAW-00049,maryland,2025-26_record_book_all_time_results,1923-1924,1924,1924-02-09,Richmond,Richmond,richmond,Yes,24,22,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F9 at Richmond W 24-22,resolved,,,,,
49,49,MDRAW-00050,maryland,2025-26_record_book_all_time_results,1923-1924,1924,,Catholic,Catholic,catholic,No,14,20,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,The Gymnasium,The Gymnasium,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,Catholic L 14-20,resolved,Exact game date not printed in Maryland's all-time-results ledger; left unknown.,,,,
