source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
kansas,Central Arkansas,central-arkansas,Central Arkansas,Yes,1,2009-2010,2009-2010,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Central Mo. State,university-of-central-missouri,University of Central Missouri,No,4,1976-1977,2002-2003,resolved,Institutional lineage: Central Missouri State → UCM,,
kansas,Chaminade,chaminade,Chaminade,No,5,1987-1988,2023-2024,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Chattanooga,chattanooga,Chattanooga,Yes,1,2012-2013,2012-2013,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Chicago Central YMCA,chicago-central-ymca,Chicago Central YMCA,No,2,1902-1903,1905-1906,resolved,New historical/non-current identity using source label,,
kansas,Chilocco,chilocco,Chilocco,No,3,1905-1906,1908-1909,resolved,New historical/non-current identity using source label,,
kansas,Cincinnati,cincinnati,Cincinnati,Yes,11,1949-1950,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Clemson,clemson,Clemson,Yes,1,2017-2018,2017-2018,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,"Co. F, Independence",co-f-independence,"Co. F, Independence",No,1,1906-1907,1906-1907,resolved,New historical/non-current identity using source label,,
kansas,Colgate,colgate,Colgate,Yes,1,1994-1995,1994-1995,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,College of Emporia,college-of-emporia,College of Emporia,No,2,1912-1913,1913-1914,resolved,New historical/non-current identity using source label,,
kansas,Colorado,colorado,Colorado,Yes,167,1930-1931,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Colorado State,colorado-state,Colorado State,Yes,1,2010-2011,2010-2011,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Connecticut,uconn,Connecticut,Yes,4,1994-1995,2023-2024,resolved,Clear Kansas/source alias,,
