source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes
MIZ-HIST-00039,missouri,historical_media_guide,1908-1909,1909,1909-01-17,Washington (Mo.),Washington University of St. Louis,washington-university-of-st-louis,No,26,44,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Jan. 17 @ Washington (Mo.) L 26-44,opponent_resolved_site_pending,
MIZ-HIST-00040,missouri,historical_media_guide,1908-1909,1909,1909-01-22,Missouri-Rolla,Missouri Rolla,missouri-rolla,No,43,12,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 22 Missouri-Rolla W 43-12,opponent_resolved_site_pending,
MIZ-HIST-00041,missouri,historical_media_guide,1908-1909,1909,1909-01-23,Missouri-Rolla,Missouri Rolla,missouri-rolla,No,49,22,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 23 Missouri-Rolla W 49-22,opponent_resolved_site_pending,
MIZ-HIST-00042,missouri,historical_media_guide,1908-1909,1909,1909-02-01,Nebraska,Nebraska,nebraska,Yes,26,24,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 1 @ Nebraska W 26-24,opponent_resolved_site_pending,
MIZ-HIST-00043,missouri,historical_media_guide,1908-1909,1909,1909-02-02,Kansas State,Kansas State,kansas-state,Yes,31,29,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 2 @ Kansas State W 31-29,opponent_resolved_site_pending,
MIZ-HIST-00044,missouri,historical_media_guide,1908-1909,1909,1909-02-03,Kansas,Kansas,kansas,Yes,15,24,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 3 @ Kansas L 15-24,opponent_resolved_site_pending,
MIZ-HIST-00045,missouri,historical_media_guide,1908-1909,1909,1909-02-04,Kansas,Kansas,kansas,Yes,23,31,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 4 @ Kansas L 23-31,opponent_resolved_site_pending,
MIZ-HIST-00046,missouri,historical_media_guide,1908-1909,1909,1909-02-06,Central Missouri,Central Missouri,central-missouri,No,36,14,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 6 @ Central Missouri W 36-14,opponent_resolved_site_pending,
MIZ-HIST-00047,missouri,historical_media_guide,1908-1909,1909,1909-02-12,Kansas,Kansas,kansas,Yes,19,24,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 12 Kansas L 19-24,opponent_resolved_site_pending,
MIZ-HIST-00048,missouri,historical_media_guide,1908-1909,1909,1909-02-13,Kansas,Kansas,kansas,Yes,37,21,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 13 Kansas W 37-21,opponent_resolved_site_pending,
