source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
virginia,James Madison,james-madison,James Madison,Yes,5,1977-1978,2021-2022,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=James Madison
virginia,Jefferson School,jefferson-school,Jefferson School,No,2,1909-1910,1914-1915,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Jefferson School
virginia,Johns Hopkins,johns-hopkins,Johns Hopkins,No,8,1919-1920,1978-1979,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_D1_COLLEGE canonical=Johns Hopkins
virginia,Kansas (2),kansas,Kansas,Yes,1,1996-1997,1996-1997,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Kansas
virginia,Kent State,kent-state,Kent State,Yes,1,1974-1975,1974-1975,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Kent State
virginia,Kentucky,kentucky,Kentucky,Yes,5,1913-1914,1965-1966,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Kentucky
virginia,Kentucky (15),kentucky,Kentucky,Yes,1,2002-2003,2002-2003,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Kentucky
virginia,Kentucky (3),kentucky,Kentucky,Yes,2,1961-1962,1966-1967,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Kentucky
virginia,Kentucky (9),kentucky,Kentucky,Yes,1,1963-1964,1963-1964,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Kentucky
virginia,Kentucky Wesleyan,kentucky-wesleyan,Kentucky Wesleyan,No,2,1956-1957,1963-1964,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_D1_COLLEGE canonical=Kentucky Wesleyan
virginia,LSU,lsu,LSU,Yes,1,2010-2011,2010-2011,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=LSU
virginia,LaSalle,la-salle,La Salle,Yes,2,1947-1948,1957-1958,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=D1 canonical=La Salle
virginia,Lafayette,lafayette,Lafayette,Yes,2,1979-1980,1983-1984,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Lafayette
virginia,Lamar,lamar,Lamar,Yes,1,2012-2013,2012-2013,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Lamar
virginia,Langley Field,langley-field,Langley Field,No,5,1935-1936,1950-1951,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Langley Field
virginia,Lawrence Tech,lawrence-tech,Lawrence Tech,No,2,1948-1949,1951-1952,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_D1_COLLEGE canonical=Lawrence Tech
virginia,Lehigh,lehigh,Lehigh,Yes,2,1973-1974,2021-2022,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Lehigh
virginia,Liberty,liberty,Liberty,Yes,7,1993-1994,2008-2009,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Liberty
virginia,Long Island,long-island-university,Long Island,Yes,2,1985-1986,2002-2003,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Long Island
